"nct_id","Study.Status","Interventions","Primary.Outcome.Measures","Secondary.Outcome.Measures","Sponsor","Phases","Start.Date","Primary.Completion.Date"
"NCT05771428","ACTIVE_NOT_RECRUITING","DRUG: ABBV-552|DRUG: Placebo for ABBV-552","Change in the Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog 14) score, The ADAS-Cog was designed to assess the cognitive impairments most common in AD. The ADAS-Cog-14 includes the original 11 items from the ADAS-Cog-11 \[1. Spoken language ability, 2. Comprehension of spoken language, 3. Recall of test instructions, 4. Word-findings difficulty in spontaneous speech, 5. Following commands, 6. Naming objects and fingers, 7. Constructional praxis, 8. Ideational praxis, 9. Orientation, 10. Word-recall task, 11. Word-recognition task\] and includes 3 additional tasks \[12. Number cancellation task, 13. Delayed word recall task, 14. Executive functioning\], for increased sensitivity in mild cognitive impairment (MCI) patients. The Total Score of the ADAS-Cog-14 ranges from 0 to 90, with a higher score representing greater impairment., From Baseline (Week 0) through Week 12",NA,"AbbVie","PHASE2","2023-04-27","2024-08-14"
"NCT05543681","RECRUITING","DRUG: Agitation management in Alzheimer's disease (IGC-AD1-Active)|DRUG: Agitation management in Alzheimer's disease (IGC-AD1-Placebo)","Agitation, Change in mean Cohen Mansfield Agitation Inventory (CMAI) score, Baseline to week six","Acute Agitation, Change in mean Cohen Mansfield Agitation Inventory (CMAI) score, Baseline to week two","IGC Pharma LLC","PHASE2","2022-10-11","2025-06-30"
"NCT06268886","RECRUITING","DRUG: BMS-986446|OTHER: Placebo","Mean change from baseline in Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) score, At week 76","Mean change from baseline in brain tau deposition as measured by tau positron emission tomography (PET), At week 76|Mean change from baseline in integrated Alzheimer's Disease Rating Scale (iADRS) score, At week 76|Mean change from baseline in Alzheimer's Disease Assessment Scale-Cognitive subscale (ADASCog14) score, At week 76|Mean change from baseline in Alzheimer's Disease Cooperative Study-instrumental Activities of Daily Living scale (ADCS-iADL) score, At week 76|Mean change from baseline in Mini Mental State Examination (MMSE) score, At week 76","Bristol-Myers Squibb","PHASE2","2024-03-20","2027-08-31"
"NCT05466422","RECRUITING","BIOLOGICAL: MK-2214|DRUG: Placebo","Number of Participants Who Experience At Least One Adverse Event (AE), An AE is defined as any untoward medical occurrence in a participant, temporally associated with the use of study treatment, whether or not considered related to the study treatment. The number of participants who experience at least one AE will be presented., Up to approximately 297 days|Number of Participants Who Discontinue Study Treatment Due to an AE, An AE is defined as any untoward medical occurrence in a participant, temporally associated with the use of study treatment, whether or not considered related to the study treatment. The number of participants who discontinue study treatment due to an AE will be presented., Up to approximately 57 days|Serum Area Under the Concentration-Time Curve of MK-2214 from Time 0 to 28 Hours (AUC0-28) After First and Third Dose, AUC is a measure of the extrapolated mean concentration in serum. Blood samples will be collected pre-dose and post-dose at designated timepoints to determine AUC0-28 of MK-2214., At designated time points (up to 85 days)|Serum Maximum Concentration (Cmax) of MK-2214 After First and Third Dose, Cmax is the maximum concentration of the drug observed in plasma. Blood samples will be collected pre-dose and post-dose at designated timepoints to determine Cmax of MK-2214., At designated time points (up to 85 days)|Serum Time to Maximum Concentration (Tmax) of MK-2214 After First and Third Dose, Tmax is the amount of time required to reach Cmax. Blood samples will be collected pre-dose and post-dose at designated timepoints to determine Tmax of MK-2214., At designated time points (up to 85 days)|Serum Apparent Terminal Half-Life (t1/2) of MK-2214 After First and Third Dose, t1/2 is the time required for 50% of drug to be cleared from serum. Blood samples will be collected pre-dose and post-dose at designated timepoints to determine t1/2 of MK-2214., At designated time points (up to 85 days)|Concentration of MK-2214 in Cerebrospinal Fluid (CSF) at Day 85 (C85d), CSF concentration of MK-2214 will be presented for Day 85., Day 85|Percentage change from baseline to Day 29 in free phospho-tau in CSF, Free phospho-tau in CSF will be determined for participants using the individual percent of baseline values (100\* free phospho-tau / baseline)., Baseline and Day 29 pre-dose|Percentage change from baseline to Day 85 in free phospho-tau in CSF, Free phospho-tau in CSF will be determined for participants using the individual percent of baseline values (100\* free phospho-tau / baseline)., Baseline and Day 85",NA,"Merck Sharp & Dohme LLC","PHASE1","2022-09-20","2025-07-16"
"NCT04777409","ACTIVE_NOT_RECRUITING","DRUG: Semaglutide|DRUG: Placebo (semaglutide)","Change in the Clinical Dementia Rating - Sum of Boxes (CDR-SB) score, Score on scale (0 to 18)
Measures the impact of cognitive decline on daily function using the following six domains commonly affected in Alzheimer's disease:
* Cognitive domains: memory, orientation, and judgement and problem solving
* Function domains: community affairs, home and hobbies, and personal care Based on clinical information obtained from the subject and informant, an individual box score ranging from 0 to 3 is determined that represents ""none"" to ""severe"" impairment for each of the six domains.
The CDR-Sum of Boxes (CDR-SB) score will be derived by adding the individual scores of the six domains at a given time point. The total CDR-SB score ranges from 0 to 18 with higher scores representing greater impairment., From baseline (week 0) to week 104","Change in the Alzheimer's Disease Cooperative Study Activities of Daily Living Scale for MCI (ADCS-ADLMCI) score, Score on scale (0 to 53). An interview-based assessment of information provided by the study partner (informant). The total scores based on 18 items on the scale range from 0 to 53 with lower scores representing greater impairment., From baseline (week 0) to week 104|Time to progression to dementia (CDR global greater than or equal to 1.0) among subjects with MCI (CDR global equal to 0.5) at baseline, Week(s), From baseline (week 0) to week 104|Change in the 13-item Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog-13) score, Score on scale (0 to 85) Measures the severity of cognitive impairment in various domains including memory, language, orientation, praxis and executive function. The total scores on the scale range from 0 to 85 with higher scores representing greater impairment., From baseline (week 0) to week 104|Change in the Montreal Cognitive Assessment (MoCA) score, Score on scale (0 to 30) The assessment includes 8 domains of cognitive function with total scores ranging from 0 to 30 and lower scores indicating greater impairment., From baseline (week 0) to week 104|Change in the Alzheimer's Disease Composite Score (ADCOMS), Score on scale (0 to 1.97) The ADCOMS is a composite clinical outcome comprising 4 items from the ADAS-Cog-13, 2 items from the MMSE and all 6 items from the CDR-SB.32 The total scores on the scale range from 0 to 1.97 with higher scores indicating greater impairment., From baseline (week 0) to week 104|Change in the Mini-Mental State Examination (MMSE) score, Score on scale (0 to 30) The MMSE measures orientation, attention, memory, language and visuo-spatial function. The total scores on the scale range from 0 to 30 with lower scores indicating greater impairment., From baseline (week 0) to week 104|Change in the 10-item Neuropsychiatric Inventory (NPI) score, 104 Score on scale (0 to 120) The 10-item scale assesses symptoms including delusions, hallucinations, agitation/aggression, dysphoria, anxiety, euphoria, apathy, disinhibition, irritability/lability and aberrant motor activity. For each domain the frequency (4-point scale) and severity (3-point scale) of symptoms is reported. The score for each domain is calculated by multiplying the frequency and severity score. The total 10-item NPI score is 0 to 120 with higher scores indicating a greater symptomatology., From baseline (week 0) to week 104|Time to progression in disease stage based on global CDR score, Week(s), From baseline (week 0) to week 104|Number of treatment emergent adverse events (TEAEs), Number of events, From baseline (week 0) to week 104|Change in high sensitivity C-reactive protein level, Ratio, From baseline (week 0) to week 104|Time to first occurrence of major adverse cardiovascular event (MACE) comprising non-fatal myocardial infarction, non-fatal stroke and allcause death, Week(s), From baseline (week 0) to week 104|Time to first occurrence of stroke, Weeks, From baseline (week 0) to week 104|Change in the EQ-5D-5L proxy score, Score The EQ-5D-5L descriptive system comprises mobility, self-care, usual activities, pain/discomfort and anxiety/depression with five response levels each (no problems, slight problems, moderate problems, severe problems, unable to /extreme problems). The EQ-5D-5L proxy version 1 (the study partner is asked to rate how he/she \[the proxy\] would rate the subject´s health) will be used in this trial., From baseline (week 0) to week 104|Extension phase: Change in the CDR-SB score, Score on scale (0 to 18)
Measures the impact of cognitive decline on daily function using the following six domains commonly affected in Alzheimer's disease:
* Cognitive domains: memory, orientation, and judgement and problem solving
* Function domains: community affairs, home and hobbies, and personal care Based on clinical information obtained from the subject and informant, an individual box score ranging from 0 to 3 is determined that represents ""none"" to ""severe"" impairment for each of the six domains.
The CDR-Sum of Boxes (CDR-SB) score will be derived by adding the individual scores of the six domains at a given time point. The total CDR-SB score ranges from 0 to 18 with higher scores representing greater impairment., From baseline (week 0) to week 156|Extension phase: Change in the ADCS-ADL-MCI score, Score on scale (0 to 53) An interview-based assessment of information provided by the study partner (informant). The total scores based on 18 items on the scale range from 0 to 53 with lower scores representing greater impairment., From baseline (week 0) to week 156|Extension phase: Time to progression to dementia (CDR global greater than or equal to 1.0) among subjects with MCI (CDR global equal to 0.5) at baseline, Week(s), From baseline (week 0) to week 156","Novo Nordisk A/S","PHASE3","2021-05-18","2025-09-19"
"NCT05291234","ACTIVE_NOT_RECRUITING","DRUG: ABBV-916|DRUG: Placebo","Number of Participants Experiencing Adverse Events (AEs), An adverse event (AE) is defined as any untoward medical occurrence in a clinical investigation participant administered a pharmaceutical product which does not necessarily have a causal relationship with this treatment. The investigator assesses the relationship of each event to the use of study., Up to approximately 160 weeks|Stage A: Maximum Observed Serum Concentration (Cmax) for Multiple Ascending Dose of ABBV-916, Cmax of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Time to Cmax (Tmax) for Multiple Ascending Dose of ABBV-916, Tmax of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Apparent Terminal Phase Elimination Rate Constant (β) of ABBV-916, Apparent terminal phase elimination rate constant (β) of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Terminal Phase Elimination Half-Life (t1/2) of ABBV-916, T1/2 of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Trough Serum Concentration (Ctrough) of ABBV-916 at the End of a Dosing Interval, Ctrough of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Area Under the Concentration-Time Curve (AUC) of ABBV-916, AUC of ABBV-916 will be determined., Up to approximately 24 weeks|Stage A: Cerebrospinal Fluid (CSF) Concentration as a Measure of ABBV-916 Crossing the Blood Brain Barrier, The central value for ratio of ABBV-916 concentration in cerebrospinal fluid (CSF) to that in serum will be estimated for evaluation of the fraction of ABBV-916 crossing the blood brain barrier., Up to approximately 24 weeks|Stage A: Percentage of Participants With Antidrug Antibodies (ADA) as a Measure of Immunogenicity Following Multiple Ascending Dose of ABBV-916, Antidrug antibody (ADA) classification and titers for positive ADA samples will be determined., Up to approximately 24 weeks|Stage B: Change in Brain Amyloid Plaque Deposition (Amyloid Centiloid Value), Change from baseline in brain amyloid plaque deposition (amyloid centiloid value) is measured by amyloid positron emission tomography (PET) scan., Baseline (Week 0) through Week 24",NA,"AbbVie","PHASE2","2022-08-15","2025-10-31"
"NCT06309147","RECRUITING","DRUG: BMS-9894923","Incidence of treatment-emergent adverse events (TEAEs), Safety, Up to 14 days after last dose","Area under the curve for the first 24 hours of dosing (AUC24h) and at steady state as determined by pharmacokinetic modeling, Total plasma concentration as determined by pharmacokinetic modeling, Up to 14 days after last dose","Allyx Therapeutics","PHASE1","2024-03-15","2025-02-15"
"NCT05817643","ACTIVE_NOT_RECRUITING","DRUG: BMS-984923","Maximum Plasma Concentration (Cmax), Maximum plasma concentration as determined by pharmacokinetic modeling, Up to 10 days after last dose|Time of Cmax (Tmax), Time of Cmax as determined by pharmacokinetic modeling, Up to 10 days after last dose|Area Under the Curve from 0 to 24h (AUC 24h), Plasma drug exposure as determined by pharmacokinetic modeling, Up to 10 days after last dose","Incidence of Treatment Emergent Adverse Events (TEAE), Safety, 14 days|Safety Laboratory abnormalities, Safety, 14 days|Electrocardiogram - QT Interval, Safety, 14 days","Allyx Therapeutics","PHASE1","2023-01-10","2023-02-27"
"NCT03507790","COMPLETED","DRUG: CT1812|DRUG: Placebo","Number of study participants with treatment related adverse events and serious adverse events, Adverse events will be collected starting at Day 1 through Day 210 to evaluate safety., 210 Days",NA,"Cognition Therapeutics","PHASE2","2018-10-10","2024-05-29"
"NCT02833792","RECRUITING","DRUG: Human Mesenchymal Stem Cells and Lactated Riunger's Solution|OTHER: Placebo","Safety of aMBMC administration, Number of patients with adverse events will be reported, 18 months","Efficacy of aMBMC administration, Changes is scores relatively to baseline using NIHSS system will be reported for each patient, 18 months","Stemedica Cell Technologies, Inc.","PHASE2","2016-06-01","2024-07-30"
"NCT04867616","ACTIVE_NOT_RECRUITING","OTHER: Placebo|BIOLOGICAL: Bepranemab","Change from Baseline to Week 80 in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) total score, The Clinical Dementia Rating (CDR) scale is a clinician-rated dementia staging system that tracks the progression of cognitive impairment in 6 categories (memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care). Each category is scored on a 5-point scale in which None=0, Questionable=0.5, Mild=1, Moderate=2, and Severe=3. The global CDR score is established by clinical scoring rules and has values of 0 (no dementia), 0.5, (questionable dementia), 1 (mild dementia), 2 (moderate dementia), and 3 (severe dementia). The Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) is obtained by adding the ratings in each of the 6 categories and ranges from 0 to 18 with higher scores indicative of greater impairment., From from Baseline to Week 80","Incidence of treatment-emergent adverse events (TEAEs), An adverse event (AE) is any untoward medical occurrence in a patient or clinical study participant, temporally associated with the use of study medication, whether or not considered related to the study medication. An AE can therefore be any unfavorable and unintended sign, symptom, or disease temporally associated with the use of study medication., From Baseline to the Safety Follow-Up (Week 152)|Incidence of treatment-emergent serious adverse events (TESAEs), A serious adverse event (SAE) is any untoward medical occurrence that at any dose:
* Results in death
* Is life-threatening
* Requires inpatient hospitalisation or prolongation of existing hospitalisation
* Results in persistent or significant disability/incapacity, or
* Is a congenital anomaly/birth defect
* Other important medical events which based on medical or scientific judgement may jeopardize the patients, or may require medical or surgical intervention to prevent any of the above, From Baseline to the Safety Follow-Up (Week 152)|Incidence of TEAEs leading to discontinuation or death, An adverse event (AE) is any untoward medical occurrence in a patient or clinical study participant, temporally associated with the use of study medication, whether or not considered related to the study medication. An AE can therefore be any unfavorable and unintended sign, symptom, or disease temporally associated with the use of study medication.tion, whether or not considered related to the study medication. An AE can therefore be any unfavorable and unintended sign, symptom, or disease temporally associated with the use of study medication., From Baseline to the Safety Follow-Up (Week 152)|Incidence of Drug-related TEAEs, An adverse event (AE) is any untoward medical occurrence in a patient or clinical study participant, temporally associated with the use of study medication, whether or not considered related to the study medication. An AE can therefore be any unfavorable and unintended sign, symptom, or disease temporally associated with the use of study medication., From Baseline to the Safety Follow-Up (Week 152)|Change from Baseline in suicidal ideation and behavior as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS), The Columbia Suicide Severity Rating Scale (C-SSRS) is a measure used to identify and assess individuals at risk for suicide. The C-SSRS is made up of ten categories, all of which maintain binary responses (yes/no) to indicate a presence or absence of the behavior. The ten categories included in the C-SSRS are as follows: Category 1 - Wish to be Dead; Category 2 - Non-specific Active Suicidal Thoughts; Category 3 - Active Suicidal Ideation with Any Methods (Not Plan) without Intent to Act; Category 4 - Active Suicidal Ideation with Some Intent to Act, without Specific Plan; Category 5 - Active Suicidal Ideation with Specific Plan and Intent; Category 6 - Preparatory Acts or Behavior; Category 7 - Aborted Attempt; Category 8 - Interrupted Attempt; Category 9 - Actual Attempt (non-fatal); Category 10 - Completed Suicide., From from Baseline to Week 80|Change from Baseline to Week 56 and Week 80 on indices of tau burden in the brain as measured by [18F]Genentech tau probe 1 (GTP1) positron emission tomography (PET), \[18F\]Genentech tau probe 1 (GTP1) positron emission tomography (PET) will be used to assess the brain aggregated tau burden during the study. Images will be transferred to and analyzed by a central imaging laboratory. \[18F\]GTP1 imaging data will be analyzed to determine the standardized uptake value ratio relative to cerebellum in multiple brain regions., From from Baseline to Week 56 and Week 80|Change from Baseline to Week 56 and Week 80 in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog14), The Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog14) is a composite scale (neuropsychological test battery and clinician reported outcome) that evaluates memory, orientation, attention, reasoning, language, and constructional praxis. Higher scores indicate greater impairment, with a minimum of 0 and a maximum of 90., From from Baseline to Week 56 and Week 80|Change from Baseline to Week 56 and Week 80 in Amsterdam-Instrumental Activities of Daily Living (A-iADL), The Amsterdam-Instrumental Activities of Daily Living Questionnaire (A-iADL) is an adaptive and computerized observer-reported outcome measure designed to assess impairments in instrumental activities of daily living (iADL) in early dementia. The questionnaire is administered to an informant such as a relative or friend, with every effort made to use the same informant for a particular study participant throughout the study. The questionnaire consists of 70 items in 7 categories, which takes approximately 20 to 25 minutes to complete. The A-iADL assesses impairments in a broad range of daily activities including household activities, household appliances, finances, work, computer, appliances, leisure activities. The scoring range is 20 to 80 using an item response theory algorithm, with higher scores indicating better functioning (Sikkes et al, 2013)., From from Baseline to Week 56 and Week 80|Change from Baseline to Week 56 and Week 80 in Mini-Mental State Examination (MMSE) total score, The MMSE is an 11-item neuropsychological test that is used to assess cognitive status in adults, and can be used to screen for cognitive impairment and to estimate severity of cognitive impairment. It assesses orientation, memory, attention, ability to name, ability to follow verbal and written commands, ability to write a sentence and to copy a drawing. The test takes approximately 10 to 15 minutes to complete. The score ranges from 0 to 30. Lower scores are indicative of poorer cognitive performance., From from Baseline to Week 56 and Week 80|Serum concentrations of bepranemab over the 80-week Double-blind Treatment Period, Serum samples will be collected for the measurement of concentrations of bepranemab at different time points during the Double-blind Treatment Period., From from Baseline to Week 80","UCB Biopharma SRL","PHASE2","2021-06-09","2024-05-29"
